StrName,StrNum,Name,Category,Neighbourhood,imagename,url
THIRD AVE,51,Queens Park,City Park,Glenbrooke South,queens.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5437.php
SIXTH ST,1,Westminster Pier Park,City Park,Downtown,westminsterpier.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5429.php
EIGHTH ST,600,Moody Park,Community Park,Kelvin,moody.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5376.php
E COLUMBIA ST,351,Sapperton Park,Community Park,Sapperton,sapperton.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5440.php
SEVENTH AVE,1900,Grimston Park,Community Park,Westend,grimston.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5377.php
E COLUMBIA ST,60,Sapperton Landing Park,Regional Park,Glenbrooke South,sappertonlanding.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5440.php
JAMIESON CRT,78,Glenbrook Ravine,Community Park,Glenbrooke South,glenbrook.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5427.php
SIXTH AVE,830,Mercer Park,Community Park,Kelvin,mercer.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5430.php
MCBRIDE BLVD,,Terry Hughes,Community Park,Glenbrooke North,terry.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5432.php
TENTH ST,10,Waterfront Esplanade,Community Park,North Arm North,waterfrontesplanade.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5504.php
E COLUMBIA ST,660,Hume Park,Community Park,Sapperton,hume.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5378.php
EWEN AVE,510,Old School House Park,Neighbourhood Park,Queensborough,oldschool.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5421.php
SALTER ST,160,Port Royal Riverfront Walk (Dyke Trail),Neighbourhood Park,North Arm South,portroyalriverfront.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5408.php
BOUNDARY RD,,Thompson's Landing Park,Neighbourhood Park,Queensborough,thompson.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5406.php
EWEN AVE,703,Sukh Sagar Park,Neighbourhood Park,Queensborough,suhk.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5410.php
STEWARDSON WAY,1609,Lookout Park,Neighbourhood Park,Brow of the Hill,lookout.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5400.php
EIGHTH ST,105,Toronto Place Park,Neighbourhood Park,Uptown,torontoplace.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5403.php
MCBRIDE BLVD,940,Dunwood Place Park,Neighbourhood Park,Glenbrooke North,dunwood.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5395.php
SINCLAIR AVE,114,Sinclair Park,Neighbourhood Park,Glenbrooke North,sinclair.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5412.php
OLIVER ST,315,Sullivan Park,Neighbourhood Park,Queens Park,sullivan.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5411.php
ROYAL AVE,301,Tipperary Park,Neighbourhood Park,Queens Park,tipperary.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5426.php
FIRST ST,40,Albert Crescent Park,Neighbourhood Park,Downtown,albert.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5385.php
AGNES ST,205,Saint Mary's Park,Neighbourhood Park,Downtown,saintmary.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5417.php
SANGSTER PL,827,Sangster Place Triangle,Neighbourhood Park,Victory Heights,sangster.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5416.php
E TENTH AVE,200,Westburnco Reservoir Sports Courts,Neighbourhood Park,Victory Heights,wesburnco.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5397.php
MOTT CRES,88A,Mott Crescent Triangle,Neighbourhood Park,Victory Heights,mott.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5404.php
YORK ST,808,Jackson Crescent Triangle,Neighbourhood Park,Victory Heights,jackson.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5399.php
CHILLIWACK ST,927,Victory Heights Park,Neighbourhood Park,Victory Heights,victory.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5401.php
E COLUMBIA ST,505,Gateway Park (Sapperton Triangle),Neighbourhood Park,Sapperton,sappertontriangle.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5414.php
QUAYSIDE DR,1260,Quayside Park,Neighbourhood Park,Downtown,quayside.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5420.php
COLUMBIA ST,796,Hyack Square,Neighbourhood Park,Downtown,hyack.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5396.php
,,Clinton Place Park,Neighbourhood Park,Queens Park,clinton.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5393.php
,,Begbie Square,Neighbourhood Park,Downtown,begbie.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5390.php
HOLLY AVE,250,Redboat Park,Neighbourhood Park,North Arm South,redboat.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5419.php
SALTER ST,215,Port Royal Park,Neighbourhood Park,North Arm South,portroyal.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5441.php
LONDON ST,2035,Connaught Village Green,Neighbourhood Park,Connaught Heights,connaught.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5394.php
MCINNES ST,125,Simcoe Park,Neighbourhood Park,Brow of the Hill,simcoe.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5413.php
SHARPE ST,505,Riverside Adventure Park,Neighbourhood Park,Brow of the Hill,riverside.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5418.php
E EIGHTH AVE,,Sunset Park,Neighbourhood Park,Sapperton,sunset.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/neighbourhood-parks/articles/5409.php
EWEN AVE,830,Ryall Park/Queensborough Community Centre,Community Park,Queensborough,ryall.jpg,https://www.newwestcity.ca/parks-and-recreation/parks/community-parks/articles/5375.php
